Rank,Operator,Total TEU,Total Ships,Owned TEU,Owned Ships,Chartered TEU,Chartered Ships,% Chartered,Orderbook TEU,Orderbook Ships,% Existing
1,Mediterranean Shg Co,6900263.0,943.0,4118272.0,677.0,2781991.0,266.0,40.32,2221966.0,127.0,32.2
2,Maersk,4614754.0,734.0,2751249.0,344.0,1863505.0,390.0,40.38,917520.0,71.0,19.88
3,CMA CGM Group,4065965.0,703.0,2422376.0,340.0,1643589.0,363.0,40.42,1734496.0,130.0,42.66
4,COSCO Group,3487671.0,542.0,2113542.0,205.0,1374129.0,337.0,39.4,1199176.0,83.0,34.38
5,Hapag-Lloyd,2402415.0,293.0,1448786.0,132.0,953629.0,161.0,39.69,375820.0,32.0,15.64
6,ONE (Ocean Network Express),2064342.0,269.0,923902.0,103.0,1140440.0,166.0,55.24,629146.0,51.0,30.48
7,Evergreen Line,1892743.0,233.0,1287923.0,156.0,604820.0,77.0,31.95,703060.0,45.0,37.15
8,HMM Co Ltd,995362.0,92.0,811860.0,68.0,183502.0,24.0,18.44,43192.0,5.0,4.34
9,Zim,740654.0,120.0,82872.0,14.0,657782.0,106.0,88.81,145600.0,14.0,19.66
10,Yang Ming Marine Transport Corp.,724226.0,100.0,333691.0,59.0,390535.0,41.0,53.92,236660.0,18.0,32.68
11,Wan Hai Lines,550947.0,114.0,548401.0,113.0,2546.0,1.0,0.46,354800.0,32.0,64.4
12,PIL (Pacific Int. Line),432070.0,98.0,291725.0,80.0,140345.0,18.0,32.48,196534.0,20.0,45.49
13,X-Press Feeders Group,190888.0,106.0,104900.0,48.0,85988.0,58.0,45.05,43600.0,9.0,22.84
14,SITC,187719.0,120.0,166356.0,102.0,21363.0,18.0,11.38,28800.0,14.0,15.34
15,UniFeeder,160923.0,97.0,0.0,0.0,160923.0,97.0,100.0,60456.0,12.0,37.57
16,KMTC,160097.0,65.0,85139.0,30.0,74958.0,35.0,46.82,43400.0,4.0,27.11
17,IRISL Group,141476.0,29.0,141476.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
